X,speech_id,GE_TROPE..0.1._MS,GE_GRAMMAR_MS,GE_WORK1_MS,GE_TROPE..0.1._SC,GE_GRAMMAR_SC,GE_WORK1_SC,GE_WORK2_SC,GE_TROPE_match,GE_GRAMMAR_match,GE_WORK1_match,GE_WORK2_match,include_for_coding,temporal_grammar_code,temporal_grammar_label,symbolic_work_primary_code,symbolic_work_primary_label,include_for_coding_gpt52,temporal_grammar_code_gpt52,temporal_grammar_label_gpt52,symbolic_work_primary_code_gpt52,symbolic_work_primary_label_gpt52,include_for_coding_o3,temporal_grammar_code_o3,temporal_grammar_label_o3,symbolic_work_primary_code_o3,symbolic_work_primary_label_o3
1,nl.proc.ob.d.h-tk-19941995-57-3517-3546.1.13.8,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W2 Competitive positioning (political),NA,1,1,1,NA,1,G1,Continuity — Lineage / enduring similarity,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
2,nl.proc.ob.d.h-tk-19961997-1824-1893.1.9.24,0,NA,NA,1,G4 Debt (obligation/repair),W4 Moral memory (cultural),NA,0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
3,nl.proc.ob.d.h-tk-19961997-4846-4860.1.9.5,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
4,nl.proc.ob.d.h-tk-19971998-474-487.1.7.3,0,NA,NA,1,G3 Break (novelty/incommensurable),W1 Governing legitimation (political),W4 Moral memory (cultural),0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W5,Other — Residual,1,G3,Break — Rupture / irrelevance,W1,Governing legitimation
5,nl.proc.ob.d.h-tk-19981999-2283-2322.1.7.31,1,G1 Continuity (lineage),W1 Governing legitimation (political),1,G1 Continuity (lineage),W3 Identity & boundary making (cultural),NA,1,1,0,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification
6,nl.proc.ob.d.h-tk-19981999-5249-5292.1.6.1,1,G5 Struggle (contestation),W2 Competitive positioning (political),1,G5 Struggle (contestation),W2 Competitive positioning (political),NA,1,1,1,NA,0,G5,Other,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — lineage / enduring similarity,W1,Governing legitimation — policy justification
7,nl.proc.ob.d.h-tk-20002001-387-430.1.9.53,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation — Policy-centred justification,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
8,nl.proc.ob.d.h-tk-20042005-4474-4517.1.5.38,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,G5,Other,W4,Moral memory — Moral evaluation/responsibility,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
9,nl.proc.ob.d.h-tk-20052006-1482-1506.1.9.1,0,NA,NA,1,G5 Struggle (contestation),W4 Moral memory (cultural),NA,0,NA,NA,NA,0,G5,Other,W1,Governing legitimation,1,G5,Other — Residual,W2,Competitive positioning — Actor-centred contestation,0,NA,NA,NA,NA
10,nl.proc.ob.d.h-tk-20052006-1507-1516.1.10.11,0,NA,NA,1,G5 Struggle (contestation),W2 Competitive positioning (political),W3 Identity & boundary making (cultural),0,NA,NA,NA,1,G1,Continuity — Lineage / enduring similarity,W3,Identity & boundary making — Group-centred definition,1,G1,Continuity — Lineage / enduring similarity,W2,Competitive positioning — Actor-centred contestation,1,G1,Continuity — Lineage / enduring similarity,W1,Governing legitimation
