year,temporal_grammar_code,n
1946,TG1,4
1946,TG2,3
1946,TG3,0
1946,TG4,0
1947,TG1,2
1947,TG2,1
1947,TG3,0
1947,TG4,0
1948,TG1,3
1948,TG2,0
1948,TG3,0
1948,TG4,0
1949,TG1,2
1949,TG2,2
1949,TG3,1
1949,TG4,1
1950,TG1,1
1950,TG2,0
1950,TG3,2
1950,TG4,0
1951,TG1,4
1951,TG2,3
1951,TG3,0
1951,TG4,0
1952,TG1,0
1952,TG2,2
1952,TG3,0
1952,TG4,0
1953,TG1,2
1953,TG2,2
1953,TG3,1
1953,TG4,0
1954,TG1,2
1954,TG2,0
1954,TG3,1
1954,TG4,0
1955,TG1,3
1955,TG2,2
1955,TG3,4
1955,TG4,1
1956,TG1,0
1956,TG2,0
1956,TG3,0
1956,TG4,0
1957,TG1,0
1957,TG2,1
1957,TG3,1
1957,TG4,0
1958,TG1,3
1958,TG2,1
1958,TG3,0
1958,TG4,0
1959,TG1,0
1959,TG2,1
1959,TG3,0
1959,TG4,1
1960,TG1,1
1960,TG2,1
1960,TG3,2
1960,TG4,0
1961,TG1,0
1961,TG2,0
1961,TG3,0
1961,TG4,0
1962,TG1,2
1962,TG2,2
1962,TG3,0
1962,TG4,0
1963,TG1,2
1963,TG2,2
1963,TG3,1
1963,TG4,0
1964,TG1,0
1964,TG2,0
1964,TG3,0
1964,TG4,0
1965,TG1,5
1965,TG2,1
1965,TG3,0
1965,TG4,0
1966,TG1,2
1966,TG2,1
1966,TG3,1
1966,TG4,0
1967,TG1,3
1967,TG2,2
1967,TG3,1
1967,TG4,0
1968,TG1,3
1968,TG2,0
1968,TG3,3
1968,TG4,0
1969,TG1,2
1969,TG2,1
1969,TG3,0
1969,TG4,0
1970,TG1,5
1970,TG2,0
1970,TG3,0
1970,TG4,0
1971,TG1,2
1971,TG2,0
1971,TG3,0
1971,TG4,0
1972,TG1,1
1972,TG2,1
1972,TG3,0
1972,TG4,0
1973,TG1,2
1973,TG2,0
1973,TG3,3
1973,TG4,0
1974,TG1,1
1974,TG2,0
1974,TG3,0
1974,TG4,3
1975,TG1,1
1975,TG2,1
1975,TG3,1
1975,TG4,1
1976,TG1,3
1976,TG2,2
1976,TG3,2
1976,TG4,8
1977,TG1,3
1977,TG2,1
1977,TG3,2
1977,TG4,0
1978,TG1,3
1978,TG2,0
1978,TG3,0
1978,TG4,0
1979,TG1,1
1979,TG2,0
1979,TG3,1
1979,TG4,0
1980,TG1,3
1980,TG2,1
1980,TG3,5
1980,TG4,0
1981,TG1,2
1981,TG2,0
1981,TG3,0
1981,TG4,0
1982,TG1,3
1982,TG2,1
1982,TG3,4
1982,TG4,0
1983,TG1,7
1983,TG2,0
1983,TG3,2
1983,TG4,1
1984,TG1,1
1984,TG2,1
1984,TG3,2
1984,TG4,0
1985,TG1,8
1985,TG2,0
1985,TG3,4
1985,TG4,1
1986,TG1,2
1986,TG2,0
1986,TG3,0
1986,TG4,0
1987,TG1,1
1987,TG2,0
1987,TG3,2
1987,TG4,0
1988,TG1,6
1988,TG2,0
1988,TG3,2
1988,TG4,0
1989,TG1,1
1989,TG2,0
1989,TG3,1
1989,TG4,0
1990,TG1,5
1990,TG2,1
1990,TG3,0
1990,TG4,0
1991,TG1,5
1991,TG2,0
1991,TG3,1
1991,TG4,0
1992,TG1,3
1992,TG2,1
1992,TG3,0
1992,TG4,0
1993,TG1,5
1993,TG2,1
1993,TG3,7
1993,TG4,0
1994,TG1,1
1994,TG2,0
1994,TG3,1
1994,TG4,0
1995,TG1,3
1995,TG2,0
1995,TG3,0
1995,TG4,1
1996,TG1,4
1996,TG2,0
1996,TG3,0
1996,TG4,0
1997,TG1,3
1997,TG2,2
1997,TG3,2
1997,TG4,1
1998,TG1,5
1998,TG2,2
1998,TG3,0
1998,TG4,3
1999,TG1,7
1999,TG2,0
1999,TG3,0
1999,TG4,3
2000,TG1,2
2000,TG2,1
2000,TG3,0
2000,TG4,0
2001,TG1,1
2001,TG2,0
2001,TG3,0
2001,TG4,0
2002,TG1,0
2002,TG2,1
2002,TG3,0
2002,TG4,0
2003,TG1,3
2003,TG2,0
2003,TG3,0
2003,TG4,0
2004,TG1,2
2004,TG2,0
2004,TG3,0
2004,TG4,0
2005,TG1,11
2005,TG2,1
2005,TG3,1
2005,TG4,1
2006,TG1,7
2006,TG2,0
2006,TG3,1
2006,TG4,6
2007,TG1,3
2007,TG2,3
2007,TG3,1
2007,TG4,0
2008,TG1,4
2008,TG2,2
2008,TG3,0
2008,TG4,1
2009,TG1,3
2009,TG2,2
2009,TG3,1
2009,TG4,0
2010,TG1,4
2010,TG2,4
2010,TG3,1
2010,TG4,1
2011,TG1,4
2011,TG2,2
2011,TG3,0
2011,TG4,0
2012,TG1,2
2012,TG2,0
2012,TG3,0
2012,TG4,0
2013,TG1,0
2013,TG2,0
2013,TG3,0
2013,TG4,0
2014,TG1,4
2014,TG2,0
2014,TG3,0
2014,TG4,0
2015,TG1,16
2015,TG2,1
2015,TG3,0
2015,TG4,1
2016,TG1,8
2016,TG2,0
2016,TG3,0
2016,TG4,0
2017,TG1,6
2017,TG2,0
2017,TG3,0
2017,TG4,1
2018,TG1,8
2018,TG2,0
2018,TG3,0
2018,TG4,4
2019,TG1,4
2019,TG2,3
2019,TG3,0
2019,TG4,3
2020,TG1,2
2020,TG2,1
