party,temporal_grammar_code,n,total
arp,TG1,9,9
cda,TG1,16,21
cda,TG3,5,21
chu,TG1,5,8
chu,TG3,1,8
chu,TG4,2,8
cpn,TG1,5,9
cpn,TG3,4,9
d66,TG1,15,20
d66,TG2,1,20
d66,TG3,3,20
d66,TG4,1,20
denk,TG1,4,5
denk,TG4,1,5
gl,TG1,3,8
gl,TG3,4,8
gl,TG4,1,8
gpv,TG1,17,27
gpv,TG2,4,27
gpv,TG3,3,27
gpv,TG4,3,27
kvp,TG1,7,10
kvp,TG2,3,10
ppr,TG1,2,6
ppr,TG3,2,6
ppr,TG4,2,6
pvda,TG1,22,39
pvda,TG2,2,39
pvda,TG3,7,39
pvda,TG4,8,39
pvv,TG1,14,38
pvv,TG2,11,38
pvv,TG4,13,38
sgp,TG1,31,65
sgp,TG2,21,65
sgp,TG3,9,65
sgp,TG4,4,65
sp,TG1,17,24
sp,TG3,1,24
sp,TG4,6,24
vvd,TG1,29,48
vvd,TG2,9,48
vvd,TG3,5,48
vvd,TG4,5,48
