temporal_grammar_code,symbolic_work_code,n,percent_total,label
TG1,SW1,183,40.939597315436245,"183
(40.9%)"
TG1,SW2,30,6.7114093959731544,"30
(6.7%)"
TG1,SW3,25,5.592841163310962,"25
(5.6%)"
TG1,SW4,17,3.8031319910514543,"17
(3.8%)"
TG1,SW5,3,0.6711409395973155,"3
(0.7%)"
TG2,SW1,49,10.961968680089486,"49
(11.0%)"
TG2,SW2,9,2.0134228187919465,"9
(2.0%)"
TG2,SW3,5,1.1185682326621924,"5
(1.1%)"
TG2,SW4,3,0.6711409395973155,"3
(0.7%)"
TG2,SW5,0,0,0
TG3,SW1,43,9.619686800894854,"43
(9.6%)"
TG3,SW2,20,4.47427293064877,"20
(4.5%)"
TG3,SW3,0,0,0
TG3,SW4,5,1.1185682326621924,"5
(1.1%)"
TG3,SW5,0,0,0
TG4,SW1,12,2.684563758389262,"12
(2.7%)"
TG4,SW2,29,6.487695749440716,"29
(6.5%)"
TG4,SW3,3,0.6711409395973155,"3
(0.7%)"
TG4,SW4,10,2.237136465324385,"10
(2.2%)"
TG4,SW5,1,0.22371364653243847,"1
(0.2%)"
